t,vout,dctrl
0.001038,6.089437,5.859993
0.001040,6.077269,5.859993
0.001042,6.066428,5.859993
0.001044,6.057980,5.859993
0.001046,6.051923,5.859993
0.001048,6.048256,5.859993
0.001050,6.046923,5.859993
0.001052,6.044724,5.859993
0.001054,6.039833,5.859993
0.001056,6.032259,5.859993
0.001058,6.022010,5.859993
0.001060,6.010016,5.859993
0.001062,5.999324,5.859993
0.001064,5.991052,5.859993
0.001066,5.985198,5.859993
0.001068,5.981759,5.859993
0.001070,5.980681,5.859993
0.001072,5.978762,5.859993
0.001074,5.974177,5.859993
0.001076,5.966935,5.859993
0.001078,5.957043,5.859993
0.001080,5.945230,5.859993
0.001082,5.934440,5.859993
0.001084,5.926096,5.859993
0.001086,5.920196,5.859993
0.001088,5.916737,5.859993
0.001090,5.915665,5.859993
0.001092,5.913778,5.859993
0.001094,5.909252,5.859993
0.001096,5.902094,5.859993
0.001098,5.892312,5.859993
0.001100,5.880628,5.863994
0.001102,5.870223,5.863994
0.001104,5.862289,5.863994
0.001106,5.856823,5.863994
0.001108,5.853823,5.863994
0.001110,5.853235,5.863994
0.001112,5.851856,5.863994
0.001114,5.847861,5.863994
0.001116,5.841257,5.863994
0.001118,5.832052,5.863994
0.001120,5.820654,5.867994
0.001122,5.810382,5.867994
0.001124,5.802605,5.867994
0.001126,5.797319,5.867994
0.001128,5.794523,5.867994
0.001130,5.794162,5.867994
0.001132,5.793033,5.867994
0.001134,5.789311,5.867994
0.001136,5.783004,5.867994
0.001138,5.774117,5.867994
0.001140,5.762942,5.871994
0.001142,5.752799,5.871994
0.001144,5.745172,5.871994
0.001146,5.740060,5.871994
0.001148,5.737460,5.871994
0.001150,5.737317,5.871994
0.001152,5.736430,5.871994
0.001154,5.732971,5.871994
0.001156,5.726948,5.871994
0.001158,5.718368,5.871994
0.001160,5.707429,5.875994
0.001162,5.697408,5.875994
0.001164,5.689926,5.875994
0.001166,5.684981,5.875994
0.001168,5.682570,5.875994
0.001170,5.682636,5.875994
0.001172,5.681978,5.875994
0.001174,5.678771,5.875994
